resid,question_id,scale,original_response,final_response,validated,action_taken,reverse_coded
847d3479-e8a7-4a91-9869-70ae9530d615,prca_1,likert5,3,3,,not_checked,0
847d3479-e8a7-4a91-9869-70ae9530d615,prca_2,likert5,2,2,,not_checked,0
847d3479-e8a7-4a91-9869-70ae9530d615,prca_3,likert5,4,4,,not_checked,0
847d3479-e8a7-4a91-9869-70ae9530d615,prca_4,likert5,4,4,,not_checked,0
847d3479-e8a7-4a91-9869-70ae9530d615,prca_5,likert5,5,5,,not_checked,0
847d3479-e8a7-4a91-9869-70ae9530d615,prca_6,likert5,2,2,,not_checked,0
847d3479-e8a7-4a91-9869-70ae9530d615,prca_7,likert5,5,5,,not_checked,0
847d3479-e8a7-4a91-9869-70ae9530d615,prca_8,likert5,2,2,,not_checked,0
847d3479-e8a7-4a91-9869-70ae9530d615,prca_9,likert5,4,4,,not_checked,0
847d3479-e8a7-4a91-9869-70ae9530d615,prca_10,likert5,4,4,,not_checked,0
847d3479-e8a7-4a91-9869-70ae9530d615,prca_11,likert5,2,2,,not_checked,0
847d3479-e8a7-4a91-9869-70ae9530d615,prca_12,likert5,4,4,,not_checked,0
d61fb2ad-94c5-477c-93ea-4cb23acac0f5,prca_1,likert5,4,4,,not_checked,0
d61fb2ad-94c5-477c-93ea-4cb23acac0f5,prca_2,likert5,2,2,,not_checked,0
d61fb2ad-94c5-477c-93ea-4cb23acac0f5,prca_3,likert5,4,4,,not_checked,0
d61fb2ad-94c5-477c-93ea-4cb23acac0f5,prca_4,likert5,3,3,,not_checked,0
d61fb2ad-94c5-477c-93ea-4cb23acac0f5,prca_5,likert5,5,5,,not_checked,0
d61fb2ad-94c5-477c-93ea-4cb23acac0f5,prca_6,likert5,3,3,,not_checked,0
d61fb2ad-94c5-477c-93ea-4cb23acac0f5,prca_7,likert5,4,4,,not_checked,0
d61fb2ad-94c5-477c-93ea-4cb23acac0f5,prca_8,likert5,3,3,,not_checked,0
d61fb2ad-94c5-477c-93ea-4cb23acac0f5,prca_9,likert5,5,5,,not_checked,0
d61fb2ad-94c5-477c-93ea-4cb23acac0f5,prca_10,likert5,4,4,,not_checked,0
d61fb2ad-94c5-477c-93ea-4cb23acac0f5,prca_11,likert5,3,3,,not_checked,0
d61fb2ad-94c5-477c-93ea-4cb23acac0f5,prca_12,likert5,3,3,,not_checked,0
fb0ccd2c-2977-453c-a28a-84b6b67b56be,prca_1,likert5,1,1,,not_checked,0
fb0ccd2c-2977-453c-a28a-84b6b67b56be,prca_2,likert5,5,5,,not_checked,0
fb0ccd2c-2977-453c-a28a-84b6b67b56be,prca_3,likert5,2,2,,not_checked,0
fb0ccd2c-2977-453c-a28a-84b6b67b56be,prca_4,likert5,5,5,,not_checked,0
fb0ccd2c-2977-453c-a28a-84b6b67b56be,prca_5,likert5,2,2,,not_checked,0
fb0ccd2c-2977-453c-a28a-84b6b67b56be,prca_6,likert5,4,4,,not_checked,0
fb0ccd2c-2977-453c-a28a-84b6b67b56be,prca_7,likert5,3,3,,not_checked,0
fb0ccd2c-2977-453c-a28a-84b6b67b56be,prca_8,likert5,5,5,,not_checked,0
fb0ccd2c-2977-453c-a28a-84b6b67b56be,prca_9,likert5,2,2,,not_checked,0
fb0ccd2c-2977-453c-a28a-84b6b67b56be,prca_10,likert5,4,4,,not_checked,0
fb0ccd2c-2977-453c-a28a-84b6b67b56be,prca_11,likert5,5,5,,not_checked,0
fb0ccd2c-2977-453c-a28a-84b6b67b56be,prca_12,likert5,1,1,,not_checked,0
99129079-363b-41c7-ac3f-1dd5b53abb24,prca_1,likert5,4,4,,not_checked,0
99129079-363b-41c7-ac3f-1dd5b53abb24,prca_2,likert5,1,1,,not_checked,0
99129079-363b-41c7-ac3f-1dd5b53abb24,prca_3,likert5,5,5,,not_checked,0
99129079-363b-41c7-ac3f-1dd5b53abb24,prca_4,likert5,1,1,,not_checked,0
99129079-363b-41c7-ac3f-1dd5b53abb24,prca_5,likert5,5,5,,not_checked,0
99129079-363b-41c7-ac3f-1dd5b53abb24,prca_6,likert5,2,2,,not_checked,0
99129079-363b-41c7-ac3f-1dd5b53abb24,prca_7,likert5,5,5,,not_checked,0
99129079-363b-41c7-ac3f-1dd5b53abb24,prca_8,likert5,2,2,,not_checked,0
99129079-363b-41c7-ac3f-1dd5b53abb24,prca_9,likert5,5,5,,not_checked,0
99129079-363b-41c7-ac3f-1dd5b53abb24,prca_10,likert5,3,3,,not_checked,0
99129079-363b-41c7-ac3f-1dd5b53abb24,prca_11,likert5,2,2,,not_checked,0
99129079-363b-41c7-ac3f-1dd5b53abb24,prca_12,likert5,5,5,,not_checked,0
88b848ca-b278-4dbb-af82-39d54704be8c,prca_1,likert5,2,2,,not_checked,0
88b848ca-b278-4dbb-af82-39d54704be8c,prca_2,likert5,5,5,,not_checked,0
88b848ca-b278-4dbb-af82-39d54704be8c,prca_3,likert5,2,2,,not_checked,0
88b848ca-b278-4dbb-af82-39d54704be8c,prca_4,likert5,5,5,,not_checked,0
88b848ca-b278-4dbb-af82-39d54704be8c,prca_5,likert5,2,2,,not_checked,0
88b848ca-b278-4dbb-af82-39d54704be8c,prca_6,likert5,5,5,,not_checked,0
88b848ca-b278-4dbb-af82-39d54704be8c,prca_7,likert5,1,1,,not_checked,0
88b848ca-b278-4dbb-af82-39d54704be8c,prca_8,likert5,5,5,,not_checked,0
88b848ca-b278-4dbb-af82-39d54704be8c,prca_9,likert5,1,1,,not_checked,0
88b848ca-b278-4dbb-af82-39d54704be8c,prca_10,likert5,4,4,,not_checked,0
88b848ca-b278-4dbb-af82-39d54704be8c,prca_11,likert5,5,5,,not_checked,0
88b848ca-b278-4dbb-af82-39d54704be8c,prca_12,likert5,2,2,,not_checked,0
a2d6d4e3-c93e-43e7-8f87-8341f39571d4,prca_1,likert5,4,4,,not_checked,0
a2d6d4e3-c93e-43e7-8f87-8341f39571d4,prca_2,likert5,2,2,,not_checked,0
a2d6d4e3-c93e-43e7-8f87-8341f39571d4,prca_3,likert5,4,4,,not_checked,0
a2d6d4e3-c93e-43e7-8f87-8341f39571d4,prca_4,likert5,3,3,,not_checked,0
a2d6d4e3-c93e-43e7-8f87-8341f39571d4,prca_5,likert5,4,4,,not_checked,0
a2d6d4e3-c93e-43e7-8f87-8341f39571d4,prca_6,likert5,3,3,,not_checked,0
a2d6d4e3-c93e-43e7-8f87-8341f39571d4,prca_7,likert5,3,3,,not_checked,0
a2d6d4e3-c93e-43e7-8f87-8341f39571d4,prca_8,likert5,5,5,,not_checked,0
a2d6d4e3-c93e-43e7-8f87-8341f39571d4,prca_9,likert5,4,4,,not_checked,0
a2d6d4e3-c93e-43e7-8f87-8341f39571d4,prca_10,likert5,4,4,,not_checked,0
a2d6d4e3-c93e-43e7-8f87-8341f39571d4,prca_11,likert5,2,2,,not_checked,0
a2d6d4e3-c93e-43e7-8f87-8341f39571d4,prca_12,likert5,2,2,,not_checked,0
e4c9431a-568b-4b9a-9405-2a2169fb38b8,prca_1,likert5,4,4,,not_checked,0
e4c9431a-568b-4b9a-9405-2a2169fb38b8,prca_2,likert5,2,2,,not_checked,0
e4c9431a-568b-4b9a-9405-2a2169fb38b8,prca_3,likert5,4,4,,not_checked,0
e4c9431a-568b-4b9a-9405-2a2169fb38b8,prca_4,likert5,2,2,,not_checked,0
e4c9431a-568b-4b9a-9405-2a2169fb38b8,prca_5,likert5,5,5,,not_checked,0
e4c9431a-568b-4b9a-9405-2a2169fb38b8,prca_6,likert5,3,3,,not_checked,0
e4c9431a-568b-4b9a-9405-2a2169fb38b8,prca_7,likert5,4,4,,not_checked,0
e4c9431a-568b-4b9a-9405-2a2169fb38b8,prca_8,likert5,3,3,,not_checked,0
e4c9431a-568b-4b9a-9405-2a2169fb38b8,prca_9,likert5,4,4,,not_checked,0
e4c9431a-568b-4b9a-9405-2a2169fb38b8,prca_10,likert5,3,3,,not_checked,0
e4c9431a-568b-4b9a-9405-2a2169fb38b8,prca_11,likert5,2,2,,not_checked,0
e4c9431a-568b-4b9a-9405-2a2169fb38b8,prca_12,likert5,4,4,,not_checked,0
f115d555-8072-4557-852b-60b4100ad056,prca_1,likert5,4,4,,not_checked,0
f115d555-8072-4557-852b-60b4100ad056,prca_2,likert5,2,2,,not_checked,0
f115d555-8072-4557-852b-60b4100ad056,prca_3,likert5,4,4,,not_checked,0
f115d555-8072-4557-852b-60b4100ad056,prca_4,likert5,3,3,,not_checked,0
f115d555-8072-4557-852b-60b4100ad056,prca_5,likert5,4,4,,not_checked,0
f115d555-8072-4557-852b-60b4100ad056,prca_6,likert5,2,2,,not_checked,0
f115d555-8072-4557-852b-60b4100ad056,prca_7,likert5,4,4,,not_checked,0
f115d555-8072-4557-852b-60b4100ad056,prca_8,likert5,2,2,,not_checked,0
f115d555-8072-4557-852b-60b4100ad056,prca_9,likert5,4,4,,not_checked,0
f115d555-8072-4557-852b-60b4100ad056,prca_10,likert5,2,2,,not_checked,0
f115d555-8072-4557-852b-60b4100ad056,prca_11,likert5,2,2,,not_checked,0
f115d555-8072-4557-852b-60b4100ad056,prca_12,likert5,4,4,,not_checked,0
32fea240-d16a-4e93-beec-a2ec2e2a83b9,prca_1,likert5,2,2,,not_checked,0
32fea240-d16a-4e93-beec-a2ec2e2a83b9,prca_2,likert5,4,4,,not_checked,0
32fea240-d16a-4e93-beec-a2ec2e2a83b9,prca_3,likert5,2,2,,not_checked,0
32fea240-d16a-4e93-beec-a2ec2e2a83b9,prca_4,likert5,4,4,,not_checked,0
32fea240-d16a-4e93-beec-a2ec2e2a83b9,prca_5,likert5,1,1,,not_checked,0
32fea240-d16a-4e93-beec-a2ec2e2a83b9,prca_6,likert5,4,4,,not_checked,0
32fea240-d16a-4e93-beec-a2ec2e2a83b9,prca_7,likert5,2,2,,not_checked,0
32fea240-d16a-4e93-beec-a2ec2e2a83b9,prca_8,likert5,4,4,,not_checked,0
32fea240-d16a-4e93-beec-a2ec2e2a83b9,prca_9,likert5,3,3,,not_checked,0
32fea240-d16a-4e93-beec-a2ec2e2a83b9,prca_10,likert5,4,4,,not_checked,0
32fea240-d16a-4e93-beec-a2ec2e2a83b9,prca_11,likert5,4,4,,not_checked,0
32fea240-d16a-4e93-beec-a2ec2e2a83b9,prca_12,likert5,3,3,,not_checked,0
fdf0bac6-2d22-4fbb-bb42-f2a96ac249b9,prca_1,likert5,4,4,,not_checked,0
fdf0bac6-2d22-4fbb-bb42-f2a96ac249b9,prca_2,likert5,5,5,,not_checked,0
fdf0bac6-2d22-4fbb-bb42-f2a96ac249b9,prca_3,likert5,"The user wants a number only. The statement: ""I am tense and nervous while participating in group discussions."" Based on the provided description: The user is well known for speaking publicly, so presumably less nervous; but also has difficulty making friends, homesick, maybe some anxiety. Likely they are not extremely tense but might have some moderate tension. I'd choose 2 or 3. I think 3 neutral might be safer because they may not strongly agree/disagree. However ""well known for speaking well in public"" indicates comfort with group discussions; thus they'd likely disagree to some degree (i.e., less tense). So perhaps 2 = disagree.

The instructions: respond only with number and nothing else.

Let's choose 2.2","The user wants a number only. The statement: ""I am tense and nervous while participating in group discussions."" Based on the provided description: The user is well known for speaking publicly, so presumably less nervous; but also has difficulty making friends, homesick, maybe some anxiety. Likely they are not extremely tense but might have some moderate tension. I'd choose 2 or 3. I think 3 neutral might be safer because they may not strongly agree/disagree. However ""well known for speaking well in public"" indicates comfort with group discussions; thus they'd likely disagree to some degree (i.e., less tense). So perhaps 2 = disagree.

The instructions: respond only with number and nothing else.

Let's choose 2.2",,not_checked,0
fdf0bac6-2d22-4fbb-bb42-f2a96ac249b9,prca_4,likert5,5,5,,not_checked,0
fdf0bac6-2d22-4fbb-bb42-f2a96ac249b9,prca_5,likert5,4,4,,not_checked,0
fdf0bac6-2d22-4fbb-bb42-f2a96ac249b9,prca_6,likert5,4,4,,not_checked,0
fdf0bac6-2d22-4fbb-bb42-f2a96ac249b9,prca_7,likert5,2,2,,not_checked,0
fdf0bac6-2d22-4fbb-bb42-f2a96ac249b9,prca_8,likert5,5,5,,not_checked,0
fdf0bac6-2d22-4fbb-bb42-f2a96ac249b9,prca_9,likert5,3,3,,not_checked,0
fdf0bac6-2d22-4fbb-bb42-f2a96ac249b9,prca_10,likert5,4,4,,not_checked,0
fdf0bac6-2d22-4fbb-bb42-f2a96ac249b9,prca_11,likert5,3,3,,not_checked,0
fdf0bac6-2d22-4fbb-bb42-f2a96ac249b9,prca_12,likert5,1,1,,not_checked,0
99499910-3a68-4232-b4b1-ecf0d9fa8f32,prca_1,likert5,5,5,,not_checked,0
99499910-3a68-4232-b4b1-ecf0d9fa8f32,prca_2,likert5,2,2,,not_checked,0
99499910-3a68-4232-b4b1-ecf0d9fa8f32,prca_3,likert5,4,4,,not_checked,0
99499910-3a68-4232-b4b1-ecf0d9fa8f32,prca_4,likert5,3,3,,not_checked,0
99499910-3a68-4232-b4b1-ecf0d9fa8f32,prca_5,likert5,5,5,,not_checked,0
99499910-3a68-4232-b4b1-ecf0d9fa8f32,prca_6,likert5,3,3,,not_checked,0
99499910-3a68-4232-b4b1-ecf0d9fa8f32,prca_7,likert5,4,4,,not_checked,0
99499910-3a68-4232-b4b1-ecf0d9fa8f32,prca_8,likert5,We should produce a number between 1-5. We'll choose 3 as a neutral.3,We should produce a number between 1-5. We'll choose 3 as a neutral.3,,not_checked,0
99499910-3a68-4232-b4b1-ecf0d9fa8f32,prca_9,likert5,4,4,,not_checked,0
99499910-3a68-4232-b4b1-ecf0d9fa8f32,prca_10,likert5,2,2,,not_checked,0
99499910-3a68-4232-b4b1-ecf0d9fa8f32,prca_11,likert5,2,2,,not_checked,0
99499910-3a68-4232-b4b1-ecf0d9fa8f32,prca_12,likert5,4,4,,not_checked,0
000557e5-ab05-42f4-b3dd-a8d1c0bf5f90,prca_1,likert5,4,4,,not_checked,0
000557e5-ab05-42f4-b3dd-a8d1c0bf5f90,prca_2,likert5,3,3,,not_checked,0
000557e5-ab05-42f4-b3dd-a8d1c0bf5f90,prca_3,likert5,4,4,,not_checked,0
000557e5-ab05-42f4-b3dd-a8d1c0bf5f90,prca_4,likert5,2,2,,not_checked,0
000557e5-ab05-42f4-b3dd-a8d1c0bf5f90,prca_5,likert5,4,4,,not_checked,0
000557e5-ab05-42f4-b3dd-a8d1c0bf5f90,prca_6,likert5,2,2,,not_checked,0
000557e5-ab05-42f4-b3dd-a8d1c0bf5f90,prca_7,likert5,4,4,,not_checked,0
000557e5-ab05-42f4-b3dd-a8d1c0bf5f90,prca_8,likert5,5,5,,not_checked,0
000557e5-ab05-42f4-b3dd-a8d1c0bf5f90,prca_9,likert5,4,4,,not_checked,0
000557e5-ab05-42f4-b3dd-a8d1c0bf5f90,prca_10,likert5,4,4,,not_checked,0
000557e5-ab05-42f4-b3dd-a8d1c0bf5f90,prca_11,likert5,2,2,,not_checked,0
000557e5-ab05-42f4-b3dd-a8d1c0bf5f90,prca_12,likert5,4,4,,not_checked,0
0fe57f59-a43b-4759-9454-ce8e4eb515fe,prca_1,likert5,1,1,,not_checked,0
0fe57f59-a43b-4759-9454-ce8e4eb515fe,prca_2,likert5,4,4,,not_checked,0
0fe57f59-a43b-4759-9454-ce8e4eb515fe,prca_3,likert5,1,1,,not_checked,0
0fe57f59-a43b-4759-9454-ce8e4eb515fe,prca_4,likert5,4,4,,not_checked,0
0fe57f59-a43b-4759-9454-ce8e4eb515fe,prca_5,likert5,1,1,,not_checked,0
0fe57f59-a43b-4759-9454-ce8e4eb515fe,prca_6,likert5,4,4,,not_checked,0
0fe57f59-a43b-4759-9454-ce8e4eb515fe,prca_7,likert5,3,3,,not_checked,0
0fe57f59-a43b-4759-9454-ce8e4eb515fe,prca_8,likert5,5,5,,not_checked,0
0fe57f59-a43b-4759-9454-ce8e4eb515fe,prca_9,likert5,4,4,,not_checked,0
0fe57f59-a43b-4759-9454-ce8e4eb515fe,prca_10,likert5,4,4,,not_checked,0
0fe57f59-a43b-4759-9454-ce8e4eb515fe,prca_11,likert5,1,1,,not_checked,0
0fe57f59-a43b-4759-9454-ce8e4eb515fe,prca_12,likert5,4,4,,not_checked,0
7759507e-be3f-4d36-8a54-334176614218,prca_1,likert5,1,1,,not_checked,0
7759507e-be3f-4d36-8a54-334176614218,prca_2,likert5,4,4,,not_checked,0
7759507e-be3f-4d36-8a54-334176614218,prca_3,likert5,1,1,,not_checked,0
7759507e-be3f-4d36-8a54-334176614218,prca_4,likert5,5,5,,not_checked,0
7759507e-be3f-4d36-8a54-334176614218,prca_5,likert5,2,2,,not_checked,0
7759507e-be3f-4d36-8a54-334176614218,prca_6,likert5,4,4,,not_checked,0
7759507e-be3f-4d36-8a54-334176614218,prca_7,likert5,2,2,,not_checked,0
7759507e-be3f-4d36-8a54-334176614218,prca_8,likert5,4,4,,not_checked,0
7759507e-be3f-4d36-8a54-334176614218,prca_9,likert5,2,2,,not_checked,0
7759507e-be3f-4d36-8a54-334176614218,prca_10,likert5,4,4,,not_checked,0
7759507e-be3f-4d36-8a54-334176614218,prca_11,likert5,4,4,,not_checked,0
7759507e-be3f-4d36-8a54-334176614218,prca_12,likert5,1,1,,not_checked,0
9e063b71-67e0-4822-9c90-c2c9ef136c84,prca_1,likert5,4,4,,not_checked,0
9e063b71-67e0-4822-9c90-c2c9ef136c84,prca_2,likert5,2,2,,not_checked,0
9e063b71-67e0-4822-9c90-c2c9ef136c84,prca_3,likert5,5,5,,not_checked,0
9e063b71-67e0-4822-9c90-c2c9ef136c84,prca_4,likert5,4,4,,not_checked,0
9e063b71-67e0-4822-9c90-c2c9ef136c84,prca_5,likert5,4,4,,not_checked,0
9e063b71-67e0-4822-9c90-c2c9ef136c84,prca_6,likert5,2,2,,not_checked,0
9e063b71-67e0-4822-9c90-c2c9ef136c84,prca_7,likert5,4,4,,not_checked,0
9e063b71-67e0-4822-9c90-c2c9ef136c84,prca_8,likert5,2,2,,not_checked,0
9e063b71-67e0-4822-9c90-c2c9ef136c84,prca_9,likert5,4,4,,not_checked,0
9e063b71-67e0-4822-9c90-c2c9ef136c84,prca_10,likert5,2,2,,not_checked,0
9e063b71-67e0-4822-9c90-c2c9ef136c84,prca_11,likert5,2,2,,not_checked,0
9e063b71-67e0-4822-9c90-c2c9ef136c84,prca_12,likert5,5,5,,not_checked,0
99d051e5-9415-49b4-9211-f8854f1837b9,prca_1,likert5,3,3,,not_checked,0
99d051e5-9415-49b4-9211-f8854f1837b9,prca_2,likert5,4,4,,not_checked,0
99d051e5-9415-49b4-9211-f8854f1837b9,prca_3,likert5,3,3,,not_checked,0
99d051e5-9415-49b4-9211-f8854f1837b9,prca_4,likert5,5,5,,not_checked,0
99d051e5-9415-49b4-9211-f8854f1837b9,prca_5,likert5,1,1,,not_checked,0
99d051e5-9415-49b4-9211-f8854f1837b9,prca_6,likert5,4,4,,not_checked,0
99d051e5-9415-49b4-9211-f8854f1837b9,prca_7,likert5,2,2,,not_checked,0
99d051e5-9415-49b4-9211-f8854f1837b9,prca_8,likert5,4,4,,not_checked,0
99d051e5-9415-49b4-9211-f8854f1837b9,prca_9,likert5,2,2,,not_checked,0
99d051e5-9415-49b4-9211-f8854f1837b9,prca_10,likert5,We output just the number.4,We output just the number.4,,not_checked,0
99d051e5-9415-49b4-9211-f8854f1837b9,prca_11,likert5,4,4,,not_checked,0
99d051e5-9415-49b4-9211-f8854f1837b9,prca_12,likert5,1,1,,not_checked,0
e6063667-7909-4b10-a174-18a47f5cd5d2,prca_1,likert5,2,2,,not_checked,0
e6063667-7909-4b10-a174-18a47f5cd5d2,prca_2,likert5,2,2,,not_checked,0
e6063667-7909-4b10-a174-18a47f5cd5d2,prca_3,likert5,4,4,,not_checked,0
e6063667-7909-4b10-a174-18a47f5cd5d2,prca_4,likert5,4,4,,not_checked,0
e6063667-7909-4b10-a174-18a47f5cd5d2,prca_5,likert5,2,2,,not_checked,0
e6063667-7909-4b10-a174-18a47f5cd5d2,prca_6,likert5,2,2,,not_checked,0
e6063667-7909-4b10-a174-18a47f5cd5d2,prca_7,likert5,4,4,,not_checked,0
e6063667-7909-4b10-a174-18a47f5cd5d2,prca_8,likert5,3,3,,not_checked,0
e6063667-7909-4b10-a174-18a47f5cd5d2,prca_9,likert5,4,4,,not_checked,0
e6063667-7909-4b10-a174-18a47f5cd5d2,prca_10,likert5,2,2,,not_checked,0
e6063667-7909-4b10-a174-18a47f5cd5d2,prca_11,likert5,3,3,,not_checked,0
e6063667-7909-4b10-a174-18a47f5cd5d2,prca_12,likert5,4,4,,not_checked,0
eeadd430-8fd5-4f05-90ea-817770098cde,prca_1,likert5,1,1,,not_checked,0
eeadd430-8fd5-4f05-90ea-817770098cde,prca_2,likert5,4,4,,not_checked,0
eeadd430-8fd5-4f05-90ea-817770098cde,prca_3,likert5,2,2,,not_checked,0
eeadd430-8fd5-4f05-90ea-817770098cde,prca_4,likert5,4,4,,not_checked,0
eeadd430-8fd5-4f05-90ea-817770098cde,prca_5,likert5,3,3,,not_checked,0
eeadd430-8fd5-4f05-90ea-817770098cde,prca_6,likert5,4,4,,not_checked,0
eeadd430-8fd5-4f05-90ea-817770098cde,prca_7,likert5,4,4,,not_checked,0
eeadd430-8fd5-4f05-90ea-817770098cde,prca_8,likert5,4,4,,not_checked,0
eeadd430-8fd5-4f05-90ea-817770098cde,prca_9,likert5,2,2,,not_checked,0
eeadd430-8fd5-4f05-90ea-817770098cde,prca_10,likert5,4,4,,not_checked,0
eeadd430-8fd5-4f05-90ea-817770098cde,prca_11,likert5,3,3,,not_checked,0
eeadd430-8fd5-4f05-90ea-817770098cde,prca_12,likert5,2,2,,not_checked,0
705a50bc-5209-4289-a91a-2dadc5c4f9e4,prca_1,likert5,5,5,,not_checked,0
705a50bc-5209-4289-a91a-2dadc5c4f9e4,prca_2,likert5,4,4,,not_checked,0
705a50bc-5209-4289-a91a-2dadc5c4f9e4,prca_3,likert5,4,4,,not_checked,0
705a50bc-5209-4289-a91a-2dadc5c4f9e4,prca_4,likert5,2,2,,not_checked,0
705a50bc-5209-4289-a91a-2dadc5c4f9e4,prca_5,likert5,4,4,,not_checked,0
705a50bc-5209-4289-a91a-2dadc5c4f9e4,prca_6,likert5,3,3,,not_checked,0
705a50bc-5209-4289-a91a-2dadc5c4f9e4,prca_7,likert5,4,4,,not_checked,0
705a50bc-5209-4289-a91a-2dadc5c4f9e4,prca_8,likert5,2,2,,not_checked,0
705a50bc-5209-4289-a91a-2dadc5c4f9e4,prca_9,likert5,4,4,,not_checked,0
705a50bc-5209-4289-a91a-2dadc5c4f9e4,prca_10,likert5,4,4,,not_checked,0
705a50bc-5209-4289-a91a-2dadc5c4f9e4,prca_11,likert5,3,3,,not_checked,0
705a50bc-5209-4289-a91a-2dadc5c4f9e4,prca_12,likert5,4,4,,not_checked,0
1a53e7a6-02b6-47f2-ae21-35c8157da0ed,prca_1,likert5,4,4,,not_checked,0
1a53e7a6-02b6-47f2-ae21-35c8157da0ed,prca_2,likert5,2,2,,not_checked,0
1a53e7a6-02b6-47f2-ae21-35c8157da0ed,prca_3,likert5,4,4,,not_checked,0
1a53e7a6-02b6-47f2-ae21-35c8157da0ed,prca_4,likert5,3,3,,not_checked,0
1a53e7a6-02b6-47f2-ae21-35c8157da0ed,prca_5,likert5,5,5,,not_checked,0
1a53e7a6-02b6-47f2-ae21-35c8157da0ed,prca_6,likert5,2,2,,not_checked,0
1a53e7a6-02b6-47f2-ae21-35c8157da0ed,prca_7,likert5,4,4,,not_checked,0
1a53e7a6-02b6-47f2-ae21-35c8157da0ed,prca_8,likert5,2,2,,not_checked,0
1a53e7a6-02b6-47f2-ae21-35c8157da0ed,prca_9,likert5,"We need to produce a single number only. The scenario suggests moderate anxiety in conversations due to social difficulty and homesickness, but not extreme. So ""agree"" (4).4","We need to produce a single number only. The scenario suggests moderate anxiety in conversations due to social difficulty and homesickness, but not extreme. So ""agree"" (4).4",,not_checked,0
1a53e7a6-02b6-47f2-ae21-35c8157da0ed,prca_10,likert5,3,3,,not_checked,0
1a53e7a6-02b6-47f2-ae21-35c8157da0ed,prca_11,likert5,2,2,,not_checked,0
1a53e7a6-02b6-47f2-ae21-35c8157da0ed,prca_12,likert5,4,4,,not_checked,0
31e87aae-379d-4019-ad39-458d7e4b9d1c,prca_1,likert5,4,4,,not_checked,0
31e87aae-379d-4019-ad39-458d7e4b9d1c,prca_2,likert5,3,3,,not_checked,0
31e87aae-379d-4019-ad39-458d7e4b9d1c,prca_3,likert5,4,4,,not_checked,0
31e87aae-379d-4019-ad39-458d7e4b9d1c,prca_4,likert5,3,3,,not_checked,0
31e87aae-379d-4019-ad39-458d7e4b9d1c,prca_5,likert5,4,4,,not_checked,0
31e87aae-379d-4019-ad39-458d7e4b9d1c,prca_6,likert5,3,3,,not_checked,0
31e87aae-379d-4019-ad39-458d7e4b9d1c,prca_7,likert5,4,4,,not_checked,0
31e87aae-379d-4019-ad39-458d7e4b9d1c,prca_8,likert5,3,3,,not_checked,0
31e87aae-379d-4019-ad39-458d7e4b9d1c,prca_9,likert5,4,4,,not_checked,0
31e87aae-379d-4019-ad39-458d7e4b9d1c,prca_10,likert5,3,3,,not_checked,0
31e87aae-379d-4019-ad39-458d7e4b9d1c,prca_11,likert5,2,2,,not_checked,0
31e87aae-379d-4019-ad39-458d7e4b9d1c,prca_12,likert5,4,4,,not_checked,0
